time,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,shortwave_radiation,direct_radiation,diffuse_radiation,uv_index,visibility
2022-01-01 00:00:00,13.2,12.7,83,10.4,1002.3,1025.8,4.0,85,7.6,100,100,3,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 01:00:00,13.7,13.2,78,10.0,1002.2,1025.7,3.6,96,6.8,100,100,3,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 02:00:00,13.8,13.1,77,9.9,1001.7,1025.2,4.2,110,8.6,100,100,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 03:00:00,13.5,13.2,82,10.5,1001.3,1024.8,3.1,111,8.3,100,100,5,79,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 04:00:00,13.2,13.2,88,11.3,1001.3,1024.8,3.0,166,6.1,100,100,10,76,0.1,0.1,0.0,51,0.0,0.0,0.0,,
2022-01-01 05:00:00,13.2,13.2,85,10.8,1001.6,1025.1,1.6,207,5.0,100,100,19,66,0.1,0.1,0.0,51,0.0,0.0,0.0,,
2022-01-01 06:00:00,13.1,13.1,87,10.9,1002.2,1025.7,2.0,225,4.0,100,100,32,49,0.1,0.1,0.0,51,0.0,0.0,0.0,,
2022-01-01 07:00:00,13.4,13.7,91,11.9,1002.9,1026.4,1.8,233,5.4,100,100,43,77,0.2,0.2,0.0,51,1.0,0.0,1.0,,
2022-01-01 08:00:00,14.0,14.0,87,11.9,1003.7,1027.2,3.5,246,9.7,100,100,56,23,0.3,0.3,0.0,51,24.0,0.0,24.0,,
2022-01-01 09:00:00,14.3,14.7,87,12.3,1004.6,1028.1,2.3,231,10.4,100,100,79,26,0.3,0.3,0.0,51,49.0,0.0,49.0,,
2022-01-01 10:00:00,14.9,15.5,87,12.7,1004.5,1028.0,1.5,135,9.0,100,100,98,8,0.3,0.3,0.0,51,104.0,2.0,102.0,,
2022-01-01 11:00:00,15.3,15.7,85,12.9,1004.0,1027.4,3.3,84,9.7,100,100,100,18,0.4,0.4,0.0,51,136.0,14.0,122.0,,
2022-01-01 12:00:00,15.6,15.4,79,12.0,1003.1,1026.5,5.4,82,13.3,100,100,100,0,0.2,0.2,0.0,51,141.0,6.0,135.0,,
2022-01-01 13:00:00,15.9,15.4,74,11.3,1001.9,1025.2,5.8,86,15.1,100,100,100,27,0.1,0.1,0.0,51,168.0,11.0,157.0,,
2022-01-01 14:00:00,16.1,15.7,72,11.0,1001.3,1024.6,4.7,94,13.7,100,100,100,48,0.0,0.0,0.0,3,138.0,10.0,128.0,,
2022-01-01 15:00:00,16.2,15.8,69,10.5,1001.1,1024.4,3.6,90,11.2,100,100,100,94,0.0,0.0,0.0,3,108.0,2.0,106.0,,
2022-01-01 16:00:00,16.2,16.0,70,10.7,1001.0,1024.3,2.4,117,8.6,100,100,89,100,0.0,0.0,0.0,3,66.0,1.0,65.0,,
2022-01-01 17:00:00,15.4,15.6,81,12.2,1001.0,1024.3,3.4,148,4.3,100,100,74,100,0.0,0.0,0.0,3,30.0,0.0,30.0,,
2022-01-01 18:00:00,14.8,14.5,79,11.2,1001.3,1024.7,4.4,145,5.8,100,100,78,100,0.0,0.0,0.0,3,2.0,0.0,2.0,,
2022-01-01 19:00:00,14.5,13.5,71,9.3,1002.3,1025.7,5.4,132,7.2,100,100,96,98,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 20:00:00,14.5,13.6,72,9.4,1002.7,1026.1,5.1,135,11.2,100,100,82,57,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 21:00:00,14.2,13.5,73,9.4,1002.9,1026.4,3.5,156,10.1,100,100,100,57,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 22:00:00,14.0,13.2,74,9.4,1003.3,1026.8,4.4,171,9.0,100,100,100,71,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 23:00:00,13.7,13.1,76,9.5,1003.2,1026.7,3.2,180,9.0,100,100,100,99,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 00:00:00,13.6,13.0,77,9.5,1002.8,1026.3,2.7,203,6.8,100,100,100,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 01:00:00,13.3,13.0,80,10.0,1002.2,1025.7,2.3,231,5.8,100,100,100,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 02:00:00,13.3,13.2,83,10.4,1001.5,1025.0,1.8,233,4.7,100,100,100,98,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 03:00:00,13.0,13.1,87,10.8,1001.1,1024.6,1.3,236,4.3,100,100,100,91,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 04:00:00,13.0,13.0,86,10.8,1000.8,1024.3,1.5,194,3.6,100,100,100,97,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 05:00:00,13.1,12.9,84,10.5,1000.7,1024.2,2.2,180,4.7,100,100,87,96,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 06:00:00,13.2,12.8,81,10.0,1000.9,1024.4,2.9,180,6.1,100,100,34,84,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 07:00:00,13.1,12.8,84,10.5,1002.0,1025.5,2.9,180,6.8,74,100,40,31,0.0,0.0,0.0,2,4.0,0.0,4.0,,
2022-01-02 08:00:00,14.2,13.7,76,10.0,1002.6,1026.1,3.0,166,9.4,98,98,4,0,0.0,0.0,0.0,3,87.0,22.0,65.0,,
2022-01-02 09:00:00,15.7,15.4,70,10.3,1003.3,1026.7,2.3,129,11.2,96,96,3,0,0.0,0.0,0.0,3,289.0,182.0,107.0,,
