time,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,shortwave_radiation,direct_radiation,diffuse_radiation,uv_index,visibility
2022-01-01 00:00:00,13.6,13.7,94,12.6,965.8,1022.6,4.6,51,11.2,48,11,4,40,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 01:00:00,13.1,13.2,95,12.3,965.7,1022.6,4.8,42,10.8,93,7,11,92,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 02:00:00,13.1,13.2,95,12.4,965.2,1022.0,4.4,55,10.1,37,1,20,21,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 03:00:00,12.5,12.4,96,11.9,964.5,1021.4,4.8,77,10.1,34,3,12,22,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 04:00:00,12.5,12.5,96,11.9,964.5,1021.4,4.1,52,10.1,73,2,6,70,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 05:00:00,12.2,12.2,97,11.7,964.5,1021.5,4.2,70,9.0,89,0,21,87,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 06:00:00,12.0,12.0,97,11.6,965.0,1022.0,3.8,41,9.4,97,6,9,97,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 07:00:00,13.1,13.5,99,12.9,966.1,1023.0,3.4,58,8.6,95,100,6,100,0.0,0.0,0.0,3,1.0,0.0,1.0,,
2022-01-01 08:00:00,15.1,15.4,89,13.3,967.1,1023.6,5.8,94,15.8,100,48,14,100,0.0,0.0,0.0,3,59.0,6.0,53.0,,
2022-01-01 09:00:00,17.2,17.5,80,13.7,967.7,1023.9,6.1,93,18.0,79,60,0,48,0.0,0.0,0.0,2,171.0,32.0,139.0,,
2022-01-01 10:00:00,19.9,20.1,69,14.0,967.9,1023.5,7.8,103,23.8,100,100,1,59,0.0,0.0,0.0,3,377.0,199.0,178.0,,
2022-01-01 11:00:00,21.8,22.2,63,14.3,967.5,1022.8,7.0,111,23.4,100,100,4,7,0.0,0.0,0.0,3,509.0,301.0,208.0,,
2022-01-01 12:00:00,22.6,23.0,60,14.4,966.7,1021.8,7.2,127,23.4,100,100,14,85,0.0,0.0,0.0,3,457.0,157.0,300.0,,
2022-01-01 13:00:00,22.7,23.1,60,14.5,965.5,1020.5,7.6,135,23.4,82,54,15,54,0.0,0.0,0.0,3,385.0,111.0,274.0,,
2022-01-01 14:00:00,23.4,23.9,58,14.6,964.5,1019.3,7.4,129,24.5,100,100,14,99,0.0,0.0,0.0,3,432.0,153.0,279.0,,
2022-01-01 15:00:00,23.2,23.8,58,14.5,964.0,1018.8,6.7,126,23.0,100,100,4,99,0.0,0.0,0.0,3,311.0,87.0,224.0,,
2022-01-01 16:00:00,22.6,23.1,60,14.4,963.8,1018.7,6.8,108,20.9,100,39,8,100,0.0,0.0,0.0,3,190.0,39.0,151.0,,
2022-01-01 17:00:00,21.6,21.9,64,14.4,963.8,1018.9,8.0,98,19.8,95,22,7,94,0.0,0.0,0.0,3,80.0,6.0,74.0,,
2022-01-01 18:00:00,19.8,20.2,70,14.2,964.1,1019.5,6.6,103,19.4,100,100,11,100,0.0,0.0,0.0,3,12.0,2.0,10.0,,
2022-01-01 19:00:00,18.4,19.1,76,14.2,964.2,1019.9,5.2,102,17.3,100,100,15,92,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 20:00:00,18.3,18.7,76,13.9,964.9,1020.7,5.6,105,17.3,100,9,17,99,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 21:00:00,17.7,18.1,77,13.6,965.5,1021.4,5.1,98,17.3,91,71,13,66,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 22:00:00,17.1,17.3,79,13.4,965.7,1021.8,6.5,96,18.7,100,4,22,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 23:00:00,16.4,16.7,82,13.4,965.9,1022.1,5.4,94,19.1,89,10,11,86,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 00:00:00,15.3,15.7,88,13.3,966.0,1022.4,4.3,95,16.9,95,13,12,94,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 01:00:00,14.5,14.9,91,13.0,965.8,1022.4,4.0,90,14.0,100,41,20,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 02:00:00,14.2,14.5,92,12.9,965.4,1022.0,4.3,95,14.4,99,50,9,98,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 03:00:00,14.5,14.9,92,13.2,965.0,1021.5,4.5,104,14.4,78,66,2,34,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-02 04:00:00,14.3,14.7,92,13.0,964.6,1021.2,4.0,85,14.4,100,100,8,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 05:00:00,14.6,14.9,90,13.1,964.8,1021.3,4.7,99,13.0,78,76,7,0,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-02 06:00:00,14.5,14.8,91,13.0,965.1,1021.6,4.1,105,13.3,46,45,2,0,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-02 07:00:00,14.6,15.0,93,13.4,965.8,1022.4,5.4,86,12.2,38,100,2,0,0.0,0.0,0.0,1,1.0,0.0,1.0,,
2022-01-02 08:00:00,16.6,16.5,81,13.3,967.2,1023.4,8.0,100,21.2,100,100,3,0,0.0,0.0,0.0,3,64.0,13.0,51.0,,
2022-01-02 09:00:00,18.3,18.3,73,13.5,968.0,1023.9,7.8,112,22.7,72,69,15,0,0.0,0.0,0.0,2,206.0,60.0,146.0,,
2022-01-02 10:00:00,20.7,20.9,64,13.6,967.8,1023.3,6.1,130,22.3,100,100,2,0,0.0,0.0,0.0,3,377.0,186.0,191.0,,
2022-01-02 11:00:00,22.6,22.8,58,13.8,966.8,1021.9,6.8,148,23.4,56,56,0,0,0.0,0.0,0.0,2,543.0,343.0,200.0,,
2022-01-02 12:00:00,23.3,23.6,55,13.8,965.7,1020.6,6.8,148,23.8,100,100,3,0,0.0,0.0,0.0,3,507.0,217.0,290.0,,
2022-01-02 13:00:00,23.2,23.6,56,13.9,964.4,1019.2,5.6,153,23.0,100,100,1,0,0.0,0.0,0.0,3,351.0,63.0,288.0,,
2022-01-02 14:00:00,23.5,24.0,54,13.8,963.5,1018.2,4.7,148,19.1,100,100,2,0,0.0,0.0,0.0,3,298.0,57.0,241.0,,
2022-01-02 15:00:00,23.4,24.0,54,13.7,962.7,1017.4,4.6,129,16.2,94,94,2,0,0.0,0.0,0.0,3,208.0,24.0,184.0,,
2022-01-02 16:00:00,23.6,24.0,54,13.7,962.4,1017.0,5.7,145,17.3,51,44,13,0,0.0,0.0,0.0,2,286.0,161.0,125.0,,
2022-01-02 17:00:00,22.2,23.1,62,14.5,962.5,1017.4,4.1,135,18.0,32,30,5,0,0.0,0.0,0.0,1,136.0,72.0,64.0,,
2022-01-02 18:00:00,19.3,19.9,73,14.3,962.4,1017.8,5.7,108,12.6,84,84,5,0,0.0,0.0,0.0,3,17.0,7.0,10.0,,
2022-01-02 19:00:00,17.5,17.8,81,14.1,962.7,1018.5,7.4,76,10.8,29,9,3,0,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-02 20:00:00,16.6,17.1,86,14.2,963.1,1019.1,6.3,77,15.1,7,6,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-02 21:00:00,15.6,16.2,89,13.8,963.2,1019.4,4.2,20,13.7,10,10,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-02 22:00:00,15.2,15.9,90,13.6,963.2,1019.5,3.8,17,9.7,2,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-02 23:00:00,14.5,15.0,93,13.3,963.2,1019.6,3.9,22,9.7,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 00:00:00,13.6,13.9,95,12.8,963.2,1019.8,3.7,11,9.7,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 01:00:00,12.6,12.7,96,12.1,963.2,1020.0,4.1,15,9.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 02:00:00,12.2,12.2,97,11.8,962.8,1019.7,3.9,22,9.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 03:00:00,11.5,11.3,98,11.2,962.2,1019.2,4.2,31,8.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 04:00:00,11.4,11.2,99,11.2,962.1,1019.1,3.8,41,8.6,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 05:00:00,11.4,11.3,100,11.4,962.2,1019.2,3.6,45,8.3,100,100,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 06:00:00,12.0,12.3,100,12.0,962.6,1019.5,2.4,27,7.9,100,100,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 07:00:00,12.9,13.4,99,12.8,964.0,1020.8,3.1,45,7.6,100,100,0,0,0.0,0.0,0.0,3,1.0,0.0,1.0,,
2022-01-03 08:00:00,14.0,14.6,96,13.5,965.2,1021.8,3.8,73,11.9,100,100,0,0,0.0,0.0,0.0,3,51.0,5.0,46.0,,
2022-01-03 09:00:00,16.5,17.1,83,13.7,965.7,1021.9,4.6,108,15.1,100,100,0,0,0.0,0.0,0.0,3,178.0,53.0,125.0,,
2022-01-03 10:00:00,20.1,20.6,66,13.6,965.9,1021.4,4.6,129,18.0,100,100,0,0,0.0,0.0,0.0,3,369.0,155.0,214.0,,
2022-01-03 11:00:00,22.7,23.9,57,13.8,964.9,1019.8,2.5,180,17.6,6,6,0,0,0.0,0.0,0.0,0,592.0,432.0,160.0,,
2022-01-03 12:00:00,23.9,25.1,53,13.9,963.6,1018.2,3.9,202,18.0,17,17,0,0,0.0,0.0,0.0,0,626.0,450.0,176.0,,
2022-01-03 13:00:00,24.8,25.5,49,13.5,962.2,1016.6,3.1,216,18.4,60,60,0,0,0.0,0.0,0.0,2,547.0,343.0,204.0,,
2022-01-03 14:00:00,25.1,25.8,47,13.1,960.8,1015.1,1.6,243,15.8,53,51,50,0,0.0,0.0,0.0,2,433.0,189.0,244.0,,
2022-01-03 15:00:00,25.3,26.1,46,12.9,960.2,1014.4,1.0,315,11.2,25,24,21,0,0.0,0.0,0.0,1,419.0,233.0,186.0,,
2022-01-03 16:00:00,25.0,25.5,46,12.5,960.0,1014.2,1.8,11,9.4,26,3,24,0,0.0,0.0,0.0,1,346.0,247.0,99.0,,
2022-01-03 17:00:00,22.6,23.9,63,15.3,959.9,1014.6,3.5,24,8.3,18,5,16,0,0.0,0.0,0.0,0,159.0,100.0,59.0,,
2022-01-03 18:00:00,19.3,19.7,72,14.1,960.0,1015.3,6.8,18,11.2,3,1,2,0,0.0,0.0,0.0,0,19.0,9.0,10.0,,
2022-01-03 19:00:00,17.8,18.0,79,14.2,960.7,1016.3,8.7,48,11.9,3,3,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 20:00:00,16.8,17.2,86,14.4,961.1,1017.0,6.8,72,15.1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 21:00:00,18.2,18.9,78,14.3,961.8,1017.4,5.0,69,13.3,1,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 22:00:00,15.3,15.7,89,13.5,961.7,1017.9,4.9,36,11.9,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-03 23:00:00,13.8,14.0,94,12.9,961.6,1018.1,4.9,36,10.4,18,0,0,18,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-04 00:00:00,13.2,13.3,96,12.5,961.5,1018.1,4.6,45,10.8,33,0,0,33,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-04 01:00:00,13.1,13.2,95,12.4,961.4,1018.0,4.8,48,11.2,56,0,0,56,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-04 02:00:00,13.1,13.1,95,12.3,960.9,1017.5,4.7,58,11.2,22,0,0,22,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-04 03:00:00,13.8,14.2,93,12.7,960.9,1017.3,3.4,58,10.1,57,0,2,57,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-04 04:00:00,12.5,12.6,96,11.9,960.4,1017.1,3.6,37,8.3,78,0,17,77,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-04 05:00:00,11.9,12.0,98,11.6,960.7,1017.5,3.3,6,7.2,100,0,84,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-04 06:00:00,12.1,12.2,98,11.8,961.1,1017.9,3.3,41,6.8,34,2,0,33,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-04 07:00:00,12.4,12.7,99,12.3,962.5,1019.3,2.6,56,6.5,100,100,0,0,0.0,0.0,0.0,3,1.0,0.0,1.0,,
2022-01-04 08:00:00,13.9,14.7,96,13.3,963.6,1020.2,2.3,108,9.7,100,100,0,0,0.0,0.0,0.0,3,68.0,16.0,52.0,,
2022-01-04 09:00:00,16.8,17.9,82,13.8,964.8,1020.9,1.0,45,10.4,22,22,0,0,0.0,0.0,0.0,1,220.0,74.0,146.0,,
2022-01-04 10:00:00,20.1,21.3,68,14.1,965.1,1020.5,1.0,135,11.9,0,0,0,0,0.0,0.0,0.0,0,460.0,330.0,130.0,,
2022-01-04 11:00:00,22.8,24.3,58,14.1,964.1,1019.0,2.9,187,16.6,0,0,0,0,0.0,0.0,0.0,0,632.0,535.0,97.0,,
2022-01-04 12:00:00,24.7,26.5,52,14.1,962.8,1017.2,4.6,219,19.8,1,1,0,0,0.0,0.0,0.0,0,717.0,616.0,101.0,,
2022-01-04 13:00:00,26.3,27.4,46,13.6,961.4,1015.5,6.7,254,23.4,24,20,15,0,0.0,0.0,0.0,1,689.0,569.0,120.0,,
2022-01-04 14:00:00,26.7,26.7,44,13.4,960.4,1014.3,7.4,247,23.0,26,8,20,1,0.0,0.0,0.0,1,542.0,371.0,171.0,,
2022-01-04 15:00:00,26.8,26.6,43,13.0,959.5,1013.4,7.9,240,24.5,16,4,15,1,0.0,0.0,0.0,0,438.0,282.0,156.0,,
2022-01-04 16:00:00,26.6,26.6,43,12.8,959.1,1013.0,6.1,225,23.0,15,10,5,0,0.0,0.0,0.0,0,327.0,218.0,109.0,,
2022-01-04 17:00:00,23.9,24.9,57,14.9,958.9,1013.3,4.2,200,16.9,0,0,0,0,0.0,0.0,0.0,0,174.0,116.0,58.0,,
2022-01-04 18:00:00,19.9,20.2,68,13.7,959.0,1014.1,6.3,211,15.5,1,0,1,0,0.0,0.0,0.0,0,21.0,10.0,11.0,,
2022-01-04 19:00:00,21.6,22.2,61,13.7,960.0,1014.9,3.6,186,15.8,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-04 20:00:00,21.1,22.1,63,13.7,960.3,1015.3,1.3,326,9.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-04 21:00:00,20.3,21.4,66,13.7,960.7,1015.8,1.0,315,6.1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-04 22:00:00,19.0,19.9,71,13.6,961.2,1016.6,2.3,342,6.5,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-04 23:00:00,16.2,16.7,82,13.1,960.9,1016.9,3.8,343,8.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 00:00:00,14.5,14.7,88,12.6,960.4,1016.7,4.2,329,9.4,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 01:00:00,13.8,14.0,91,12.3,960.1,1016.5,3.9,326,9.7,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 02:00:00,13.1,13.1,92,11.9,959.6,1016.1,3.9,326,9.4,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 03:00:00,12.6,12.6,93,11.5,958.8,1015.4,3.5,336,9.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 04:00:00,12.8,12.9,91,11.4,958.6,1015.1,2.4,333,8.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 05:00:00,12.9,13.1,91,11.4,958.9,1015.4,1.3,326,6.8,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 06:00:00,12.0,11.9,93,10.8,959.1,1015.8,2.3,342,6.5,5,5,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 07:00:00,11.6,11.7,99,11.5,960.5,1017.3,2.6,344,7.6,10,26,0,0,0.0,0.0,0.0,0,1.0,0.0,1.0,,
2022-01-05 08:00:00,14.6,15.2,91,13.1,962.0,1018.3,2.3,321,11.2,35,35,0,0,0.0,0.0,0.0,1,81.0,38.0,43.0,,
2022-01-05 09:00:00,17.8,19.0,79,14.0,962.9,1018.7,0.4,270,10.8,0,0,0,0,0.0,0.0,0.0,0,254.0,146.0,108.0,,
2022-01-05 10:00:00,21.5,22.8,65,14.5,963.2,1018.3,1.1,198,12.2,0,0,0,0,0.0,0.0,0.0,0,494.0,407.0,87.0,,
2022-01-05 11:00:00,24.1,25.9,56,14.8,962.4,1016.9,2.8,220,16.2,0,0,0,0,0.0,0.0,0.0,0,643.0,549.0,94.0,,
2022-01-05 12:00:00,25.9,27.9,48,14.1,961.1,1015.2,3.7,241,18.0,0,0,0,0,0.0,0.0,0.0,0,733.0,638.0,95.0,,
2022-01-05 13:00:00,27.2,28.6,41,12.8,960.1,1013.9,5.1,262,20.2,16,1,16,0,0.0,0.0,0.0,0,745.0,648.0,97.0,,
2022-01-05 14:00:00,27.8,28.2,36,11.6,959.2,1012.9,5.8,270,20.2,34,2,32,0,0.0,0.0,0.0,1,666.0,562.0,104.0,,
2022-01-05 15:00:00,28.0,27.2,33,10.1,958.7,1012.3,5.9,281,19.8,47,1,47,0,0.0,0.0,0.0,1,532.0,431.0,101.0,,
2022-01-05 16:00:00,27.3,26.6,35,10.4,958.6,1012.3,5.6,285,18.4,33,0,33,0,0.0,0.0,0.0,1,370.0,280.0,90.0,,
2022-01-05 17:00:00,25.7,25.8,41,11.4,959.1,1013.1,2.2,261,15.5,17,0,17,0,0.0,0.0,0.0,0,178.0,123.0,55.0,,
2022-01-05 18:00:00,24.1,24.3,46,11.6,959.4,1013.8,2.3,129,5.8,1,0,1,0,0.0,0.0,0.0,0,22.0,11.0,11.0,,
2022-01-05 19:00:00,22.4,23.0,52,12.1,959.5,1014.2,0.8,333,5.4,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 20:00:00,21.3,21.6,56,12.2,960.1,1015.0,2.5,352,7.9,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 21:00:00,19.9,20.3,61,12.1,960.5,1015.7,2.1,329,7.9,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-05 22:00:00,19.2,19.5,63,12.1,960.6,1015.9,2.3,309,7.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
