time,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,shortwave_radiation,direct_radiation,diffuse_radiation,uv_index,visibility
2022-01-01 00:00:00,13.6,13.9,90,12.0,917.6,1023.6,2.1,121,11.9,100,100,5,7,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 01:00:00,13.5,13.7,89,11.8,917.4,1023.4,2.0,135,13.0,99,99,10,0,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 02:00:00,13.2,13.4,91,11.7,916.8,1022.9,2.0,135,13.3,93,89,12,23,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 03:00:00,12.8,12.9,92,11.5,916.1,1022.2,2.3,129,13.0,90,53,53,62,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 04:00:00,11.6,11.5,96,11.0,915.7,1022.2,2.8,130,13.7,74,35,27,45,0.1,0.1,0.0,51,0.0,0.0,0.0,,
2022-01-01 05:00:00,11.3,11.3,97,10.9,915.6,1022.3,1.8,101,13.3,67,44,38,10,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 06:00:00,11.5,11.5,97,11.1,916.3,1022.9,2.6,106,12.6,99,85,94,2,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 07:00:00,11.1,11.0,99,10.9,916.8,1023.7,3.0,104,12.2,100,75,31,21,0.0,0.0,0.0,3,1.0,0.0,1.0,,
2022-01-01 08:00:00,12.7,12.6,94,11.7,917.9,1024.2,4.5,166,16.2,100,100,34,0,0.0,0.0,0.0,3,48.0,9.0,39.0,,
2022-01-01 09:00:00,13.6,13.5,90,12.0,918.6,1024.7,4.9,197,18.7,100,100,48,0,0.0,0.0,0.0,3,146.0,24.0,122.0,,
2022-01-01 10:00:00,14.2,14.2,88,12.2,918.9,1024.8,4.7,203,18.4,100,100,22,28,0.0,0.0,0.0,3,185.0,20.0,165.0,,
2022-01-01 11:00:00,14.7,14.6,86,12.3,918.4,1024.1,5.8,210,20.2,100,100,31,78,0.0,0.0,0.0,3,201.0,22.0,179.0,,
2022-01-01 12:00:00,15.6,15.6,83,12.7,918.0,1023.2,6.1,208,22.7,100,100,43,85,0.1,0.1,0.0,51,320.0,102.0,218.0,,
2022-01-01 13:00:00,15.9,16.0,82,12.8,917.0,1022.0,5.8,210,23.0,100,100,41,71,0.1,0.1,0.0,51,326.0,77.0,249.0,,
2022-01-01 14:00:00,16.4,16.4,81,13.0,916.3,1021.1,6.3,204,24.5,100,100,54,90,0.1,0.1,0.0,51,370.0,138.0,232.0,,
