time,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,shortwave_radiation,direct_radiation,diffuse_radiation,uv_index,visibility
2022-01-01 00:00:00,13.9,10.1,76,9.7,854.0,1019.2,25.7,43,54.7,100,6,100,22,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 01:00:00,13.9,10.2,79,10.3,853.3,1018.4,26.2,43,55.4,48,3,26,28,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 02:00:00,13.7,10.1,80,10.4,852.3,1017.3,25.6,39,54.7,35,7,19,13,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 03:00:00,13.8,10.3,82,10.8,851.9,1016.7,25.5,42,54.0,56,13,9,45,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 04:00:00,13.8,10.3,83,11.1,851.8,1016.6,26.2,43,55.4,48,38,1,16,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 05:00:00,13.8,10.4,85,11.4,852.0,1016.9,26.2,44,56.5,67,29,0,54,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 06:00:00,13.9,10.5,86,11.7,852.4,1017.2,27.0,44,57.6,99,75,0,95,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 07:00:00,14.5,11.7,88,12.5,853.2,1017.8,24.5,49,57.6,52,87,0,81,0.0,0.0,0.0,2,42.0,18.0,24.0,,
2022-01-01 08:00:00,16.2,12.8,80,12.8,854.7,1018.6,28.9,50,61.9,68,65,0,7,0.0,0.0,0.0,2,207.0,107.0,100.0,,
2022-01-01 09:00:00,17.6,14.0,73,12.8,855.6,1018.8,30.8,53,66.2,71,65,0,17,0.0,0.0,0.0,2,400.0,248.0,152.0,,
2022-01-01 10:00:00,18.9,15.7,68,12.9,855.8,1018.3,30.1,53,67.7,63,54,1,19,0.0,0.0,0.0,2,618.0,433.0,185.0,,
2022-01-01 11:00:00,19.6,17.2,66,13.1,855.8,1017.9,29.4,54,66.2,100,37,65,98,0.0,0.0,0.0,3,757.0,570.0,187.0,,
2022-01-01 12:00:00,19.4,17.1,66,12.8,855.2,1017.3,26.2,53,64.4,100,48,100,79,0.0,0.0,0.0,3,688.0,420.0,268.0,,
2022-01-01 13:00:00,18.6,15.9,69,12.8,854.2,1016.6,24.1,52,59.0,100,12,100,97,0.0,0.0,0.0,3,432.0,101.0,331.0,,
2022-01-01 14:00:00,19.0,16.5,68,12.9,853.9,1015.9,23.7,54,54.7,100,32,100,19,0.0,0.0,0.0,3,488.0,162.0,326.0,,
2022-01-01 15:00:00,18.6,16.5,70,13.0,853.7,1015.9,21.3,53,51.5,100,19,100,0,0.0,0.0,0.0,3,453.0,232.0,221.0,,
2022-01-01 16:00:00,16.9,14.9,77,12.8,853.2,1016.4,20.1,47,47.5,100,44,100,6,0.0,0.0,0.0,3,201.0,48.0,153.0,,
2022-01-01 17:00:00,15.9,13.7,79,12.3,853.0,1016.7,20.2,40,45.7,74,45,53,0,0.0,0.0,0.0,2,102.0,25.0,77.0,,
2022-01-01 18:00:00,15.0,12.2,82,12.0,852.6,1016.8,23.0,40,50.4,96,39,93,4,0.0,0.0,0.0,3,11.0,4.0,7.0,,
2022-01-01 19:00:00,14.7,12.0,86,12.4,853.2,1017.7,23.7,47,53.6,82,25,78,35,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 20:00:00,14.4,11.8,89,12.7,853.4,1018.1,24.0,49,51.1,98,74,88,25,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 21:00:00,14.3,11.2,88,12.4,853.4,1018.2,26.3,48,58.7,100,92,24,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
