time,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,shortwave_radiation,direct_radiation,diffuse_radiation,uv_index,visibility
2022-01-01 00:00:00,23.2,27.4,90,21.4,1013.9,1014.7,2.9,353,9.4,14,0,8,6,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-01 01:00:00,22.9,26.0,89,21.0,1013.3,1014.1,8.2,331,13.3,2,0,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-01 02:00:00,22.6,24.3,75,17.9,1012.5,1013.3,7.9,3,14.0,44,0,41,5,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 03:00:00,22.3,23.2,69,16.4,1011.9,1012.7,8.8,9,15.8,100,0,100,5,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 04:00:00,22.4,23.4,68,16.1,1011.8,1012.6,7.3,20,16.6,86,0,86,3,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 05:00:00,22.3,23.3,68,16.2,1012.2,1013.0,7.6,5,14.0,98,0,95,60,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 06:00:00,22.2,23.3,69,16.3,1012.5,1013.3,7.3,11,14.8,99,0,81,96,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-01 07:00:00,22.4,23.7,71,16.9,1012.9,1013.7,7.7,11,13.7,100,0,100,100,0.0,0.0,0.0,3,29.0,9.0,20.0,,
2022-01-01 08:00:00,24.1,26.0,67,17.6,1013.8,1014.6,5.2,25,14.0,100,1,54,100,0.0,0.0,0.0,3,143.0,45.0,98.0,,
2022-01-01 09:00:00,26.1,28.2,60,17.8,1014.2,1015.0,5.1,39,16.2,100,0,20,100,0.0,0.0,0.0,3,380.0,235.0,145.0,,
2022-01-01 10:00:00,27.7,30.1,56,18.1,1014.1,1014.9,4.8,48,16.6,34,0,3,32,0.0,0.0,0.0,1,566.0,385.0,181.0,,
2022-01-01 11:00:00,29.3,33.3,53,18.8,1013.6,1014.4,4.7,58,17.3,43,0,1,42,0.0,0.0,0.0,1,769.0,655.0,114.0,,
2022-01-01 12:00:00,30.7,35.2,49,18.7,1012.5,1013.3,3.6,45,17.3,50,0,1,49,0.0,0.0,0.0,2,834.0,712.0,122.0,,
2022-01-01 13:00:00,31.5,35.8,45,18.3,1011.5,1012.3,3.8,49,15.5,29,0,9,23,0.0,0.0,0.0,1,827.0,702.0,125.0,,
2022-01-01 14:00:00,31.7,35.2,46,18.5,1010.4,1011.2,5.1,39,17.3,12,2,12,0,0.0,0.0,0.0,0,739.0,607.0,132.0,,
2022-01-01 15:00:00,31.3,33.8,47,18.7,1010.0,1010.8,7.2,53,21.2,24,9,20,4,0.0,0.0,0.0,1,604.0,487.0,117.0,,
2022-01-01 16:00:00,31.5,33.9,47,18.8,1009.7,1010.5,5.7,35,19.4,17,1,7,10,0.0,0.0,0.0,0,403.0,302.0,101.0,,
2022-01-01 17:00:00,29.9,32.3,52,19.0,1010.1,1010.9,6.7,106,13.7,10,8,2,0,0.0,0.0,0.0,0,204.0,140.0,64.0,,
2022-01-01 18:00:00,26.6,29.0,72,21.2,1011.0,1011.8,14.0,136,31.0,14,8,9,0,0.0,0.0,0.0,0,28.0,13.0,15.0,,
2022-01-01 19:00:00,26.2,29.0,73,21.0,1011.8,1012.6,11.2,130,27.0,24,8,20,100,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 20:00:00,25.5,28.8,77,21.2,1012.7,1013.5,7.9,129,20.9,59,1,24,46,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 21:00:00,25.2,28.5,80,21.6,1013.1,1013.9,9.3,126,17.3,38,2,13,29,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-01 22:00:00,24.9,28.3,80,21.3,1012.9,1013.7,7.3,110,17.6,50,14,7,38,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-01 23:00:00,24.5,27.9,82,21.2,1013.4,1014.2,7.0,55,13.3,42,26,6,19,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-02 00:00:00,24.3,28.0,83,21.3,1013.6,1014.4,5.8,60,11.5,66,17,12,53,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-02 01:00:00,23.5,27.6,90,21.7,1013.0,1013.8,4.7,81,9.0,99,0,11,99,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 02:00:00,23.1,27.2,92,21.7,1012.2,1013.0,4.0,355,5.4,99,0,10,99,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 03:00:00,22.6,26.7,94,21.6,1011.4,1012.2,4.0,355,5.8,89,0,0,89,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 04:00:00,22.3,26.2,93,21.1,1011.2,1012.0,4.0,5,6.5,100,0,0,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 05:00:00,22.1,25.2,88,20.0,1011.4,1012.2,4.7,9,7.6,16,0,0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2022-01-02 06:00:00,21.8,24.5,86,19.3,1011.9,1012.7,5.1,356,7.6,36,0,1,35,0.0,0.0,0.0,1,0.0,0.0,0.0,,
2022-01-02 07:00:00,22.4,25.0,82,19.2,1012.9,1013.7,5.6,27,11.9,100,0,0,100,0.0,0.0,0.0,3,35.0,16.0,19.0,,
2022-01-02 08:00:00,24.9,27.9,74,20.0,1013.6,1014.4,5.3,28,14.8,100,0,0,100,0.0,0.0,0.0,3,203.0,112.0,91.0,,
2022-01-02 09:00:00,26.9,30.3,68,20.4,1013.7,1014.5,4.6,45,16.2,82,0,0,82,0.0,0.0,0.0,3,398.0,249.0,149.0,,
2022-01-02 10:00:00,28.7,32.5,61,20.6,1013.2,1014.0,4.8,27,16.9,92,0,1,92,0.0,0.0,0.0,3,611.0,480.0,131.0,,
2022-01-02 11:00:00,30.2,34.7,56,20.5,1012.4,1013.2,5.4,42,18.4,94,0,0,94,0.0,0.0,0.0,3,744.0,590.0,154.0,,
2022-01-02 12:00:00,31.2,35.4,49,19.3,1011.5,1012.3,6.3,66,20.2,71,0,0,71,0.0,0.0,0.0,2,811.0,651.0,160.0,,
2022-01-02 13:00:00,31.6,35.7,48,19.2,1010.2,1011.0,6.4,63,21.2,57,1,0,56,0.0,0.0,0.0,2,812.0,675.0,137.0,,
2022-01-02 14:00:00,31.8,35.6,47,19.2,1009.3,1010.1,5.6,50,20.5,91,1,3,91,0.0,0.0,0.0,3,732.0,585.0,147.0,,
2022-01-02 15:00:00,31.8,34.4,47,19.1,1009.0,1009.8,6.9,47,20.2,100,4,11,100,0.0,0.0,0.0,3,577.0,448.0,129.0,,
2022-01-02 16:00:00,31.6,34.2,47,19.0,1009.0,1009.8,5.2,65,19.8,100,14,19,100,0.0,0.0,0.0,3,398.0,284.0,114.0,,
2022-01-02 17:00:00,28.7,31.5,63,21.0,1009.6,1010.4,10.5,131,20.5,100,3,29,100,0.0,0.0,0.0,3,143.0,40.0,103.0,,
2022-01-02 18:00:00,26.5,29.6,76,21.8,1010.4,1011.2,11.3,158,26.6,100,1,31,100,0.0,0.0,0.0,3,24.0,5.0,19.0,,
2022-01-02 19:00:00,26.4,30.0,77,22.0,1011.1,1011.9,8.9,140,22.0,100,3,32,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 20:00:00,26.0,29.7,78,21.9,1012.0,1012.8,8.0,126,16.6,94,0,16,93,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 21:00:00,25.2,29.0,80,21.6,1012.1,1012.9,6.1,130,14.8,91,1,7,90,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 22:00:00,24.8,28.5,84,21.9,1012.2,1013.0,7.4,119,13.0,99,2,18,99,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-02 23:00:00,24.7,28.7,85,22.0,1012.4,1013.2,6.0,107,13.3,68,0,11,64,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-03 00:00:00,24.3,28.4,87,21.9,1012.3,1013.1,5.1,94,10.4,93,0,18,92,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 01:00:00,23.9,28.0,88,21.8,1011.9,1012.7,5.2,74,9.0,54,6,2,51,0.0,0.0,0.0,2,0.0,0.0,0.0,,
2022-01-03 02:00:00,23.5,27.7,90,21.7,1011.4,1012.2,3.5,66,8.6,100,3,100,88,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 03:00:00,23.5,27.5,87,21.3,1011.0,1011.8,4.0,85,8.3,100,0,100,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 04:00:00,24.0,27.4,83,20.9,1010.7,1011.5,5.8,112,10.4,100,8,93,100,0.1,0.1,0.0,51,0.0,0.0,0.0,,
2022-01-03 05:00:00,23.7,27.9,89,21.8,1010.7,1011.5,4.0,80,10.1,100,1,90,100,0.0,0.0,0.0,3,0.0,0.0,0.0,,
2022-01-03 06:00:00,23.4,27.5,88,21.2,1011.2,1012.0,2.6,16,6.5,100,0,100,100,0.5,0.5,0.0,53,0.0,0.0,0.0,,
2022-01-03 07:00:00,24.0,28.1,88,21.8,1011.6,1012.4,4.4,351,7.9,100,0,90,96,0.1,0.1,0.0,51,20.0,4.0,16.0,,
2022-01-03 08:00:00,25.5,29.4,77,21.1,1012.2,1013.0,3.5,336,11.9,87,0,18,84,0.0,0.0,0.0,3,156.0,50.0,106.0,,
2022-01-03 09:00:00,27.2,31.3,69,21.1,1012.6,1013.4,2.2,351,12.6,42,0,1,41,0.0,0.0,0.0,1,424.0,318.0,106.0,,
2022-01-03 10:00:00,28.8,33.2,63,21.1,1012.2,1013.0,2.4,63,13.3,49,0,2,47,0.0,0.0,0.0,1,615.0,493.0,122.0,,
2022-01-03 11:00:00,30.2,34.9,58,20.9,1011.5,1012.3,5.2,78,25.2,90,12,13,87,0.0,0.0,0.0,3,735.0,574.0,161.0,,
2022-01-03 12:00:00,30.6,34.8,55,20.5,1010.5,1011.3,6.9,81,28.8,94,4,49,89,0.0,0.0,0.0,3,732.0,508.0,224.0,,
2022-01-03 13:00:00,31.6,36.0,50,20.0,1009.4,1010.2,6.9,81,28.8,100,11,31,100,0.0,0.0,0.0,3,821.0,660.0,161.0,,
2022-01-03 14:00:00,31.0,33.4,51,19.7,1008.7,1009.5,8.7,85,26.3,100,16,33,100,0.1,0.1,0.0,51,550.0,256.0,294.0,,
2022-01-03 15:00:00,30.4,33.2,53,19.9,1008.4,1009.2,6.8,87,23.4,100,15,62,100,0.0,0.0,0.0,3,398.0,106.0,292.0,,
2022-01-03 16:00:00,29.7,32.4,56,20.0,1008.5,1009.3,8.0,126,18.4,100,20,23,100,0.0,0.0,0.0,3,243.0,88.0,155.0,,
